[DEBUG] 2021-12-08 19:25:03,904 asyncio: Using selector: SelectSelector
[INFO] 2021-12-08 19:25:04,089 customuser.forms: Forms added for Custom User Creation Admin Form
[INFO] 2021-12-08 19:25:04,089 customuser.forms: Forms added for Custom User Creation EU Form
[INFO] 2021-12-08 19:25:04,089 customuser.forms: Forms added for Custom User Change Form
[DEBUG] 2021-12-08 19:25:04,282 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-09 23:58:27,993 asyncio: Using selector: SelectSelector
[INFO] 2021-12-09 23:58:28,289 customuser.forms: Forms added for Custom User Creation Admin Form
[INFO] 2021-12-09 23:58:28,290 customuser.forms: Forms added for Custom User Creation EU Form
[INFO] 2021-12-09 23:58:28,290 customuser.forms: Forms added for Custom User Change Form
[DEBUG] 2021-12-09 23:58:28,926 asyncio: Using selector: SelectSelector
[INFO] 2021-12-09 23:58:29,044 customuser.forms: Forms added for Custom User Creation Admin Form
[INFO] 2021-12-09 23:58:29,044 customuser.forms: Forms added for Custom User Creation EU Form
[INFO] 2021-12-09 23:58:29,044 customuser.forms: Forms added for Custom User Change Form
[INFO] 2021-12-09 23:58:29,115 django.utils.autoreload: Watching for file changes with StatReloader
[INFO] 2021-12-09 23:58:29,420 daphne.server: HTTP/2 support not enabled (install the http2 and tls Twisted extras)
[DEBUG] 2021-12-10 00:01:46,902 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53123]
[INFO] 2021-12-10 00:01:46,902 django.channels.server: HTTP GET /profile 200 [0.02, 127.0.0.1:53123]
[DEBUG] 2021-12-10 00:01:46,919 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:46,921 daphne.http_protocol: HTTP 304 response started for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:46,922 daphne.http_protocol: HTTP close for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:46,922 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53123]
[INFO] 2021-12-10 00:01:46,922 django.channels.server: HTTP GET /static/customstyle.css 304 [0.00, 127.0.0.1:53123]
[DEBUG] 2021-12-10 00:01:46,925 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:46,927 daphne.http_protocol: HTTP 304 response started for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:46,927 daphne.http_protocol: HTTP close for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:46,927 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53123]
[INFO] 2021-12-10 00:01:46,927 django.channels.server: HTTP GET /static/homepagepic.png 304 [0.00, 127.0.0.1:53123]
[DEBUG] 2021-12-10 00:01:46,930 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:46,931 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-10 00:01:47,023 daphne.http_protocol: HTTP 200 response started for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:47,023 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:47,023 daphne.http_protocol: HTTP close for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:47,023 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53123]
[INFO] 2021-12-10 00:01:47,023 django.channels.server: HTTP GET /media/photos/h3.jpeg 200 [0.09, 127.0.0.1:53123]
